PO_NUMBER,SO_NUMBER,STATUS,BLOCK_CODE,BLOCK_REASON,FAILURE_REASON,RFC_ERROR_CODE,RFC_MESSAGE,SALES_ORG,CUSTOMER_NAME,SOURCE_FILE,RUN_TIMESTAMP,_extracted_at,_source_table
121020132410,0001536559,SUCCESS,,,,,,2730,FOXCONN (KUNSHAN) COMPUTER CONNECTOR CO,FOXCONN (Sold-to 4020010339 - Materials 16552+47206+61262+61457)_AQMkAGEz.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
1263152,0001536549,SUCCESS,,,,,,2500,ABB Cable Management Products Ltd,Sold-to 4020028890 - Material 8756+8756+8756.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
1271104,0001536550,SUCCESS,,,,,,2500,ABB Cable Management Products Ltd,Sold-to 4020028890 - Material 8756+40696_AQMkAGEz.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
1316,0001536551,SUCCESS,,,,,,2545,Ergotech SRL,Sold-to 4020000140 - Material 934.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
135420,0001536497,SUCCESS,,,,,,2500,TER HELL Plastic GmbH,BE_135420.PDF,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
201994,0001536498,SUCCESS,,,,,,2500,Fraenkische CZ s.r.o,YYBST13D.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
4675827,0001536521,SUCCESS,,,,,,2500,Ecoform Multifol Verpackungsfolien,Ecoform Multifol (Sold-to 4020000777 - Material 11284).PDF,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
BE-25-02595,0001536555,SUCCESS,,,,,,2500,MF Folien GmbH,MF Folien (Sold-to 4020001301 - Material 60477)_AQMkAGEz.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
BE-25-02803,0001536523,SUCCESS,,,,,,2500,MF Folien GmbH,Bestellung BE-25-02803.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
BE-26-00192,0001536524,SUCCESS,,,,,,2500,MF Folien GmbH,Bestellung BE-26-00192.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
BE-26-00192,0001536525,SUCCESS,,,,,,2500,MF Folien GmbH,Bestellung BE-26-00192.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
BE-26-00859,0001536526,SUCCESS,,,,,,2500,MF Folien GmbH,Bestellung BE-26-00859.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
BE25-00763,0001536527,SUCCESS,,,,,,2500,VF Verpackungen GmbH,Niederwieser (Sold-to 4020000825 - Material 11284).pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
BE25-00763,0001536528,SUCCESS,,,,,,2500,VF Verpackungen GmbH,Niederwieser (Sold-to 4020000825 - Material 11284).pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
EX-1031059/26,0001536843,SUCCESS,,,,,,2545,Technoform Bautec Italia S.p.A,EX-1031059-26.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
I34/0000580,0001536515,SUCCESS,,,,,,2540,Sistemas Técnicos del Accesorio y,I34-580.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
I34/0000581,0001536649,SUCCESS,,,,,,2540,Sistemas Técnicos del Accesorio y,I34-581.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
1015132885,0001536552,SUCCESS,,,,,,2710,NIHON MOLEX,Molex+PO1015132885_20260707_013755_AAMkAGEz.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
11750120,0001536499,SUCCESS,,,,,,2720,Pegasus Polymers Pte. Ltd,Purchase Order  (11750120) (1).pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
121080096386,0001536553,SUCCESS,,,,,,2700,上海金骏程新材料科技有限公司,Fuyu Electronical Technology (Sold-to 4020036720 - Material 15219)_AQMkAGEz.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
1263142,0001536554,SUCCESS,,,,,,2500,ABB Cable Management Products Ltd,Sold-to 4020028890 - Material 41450+40696_AQMkAGEz.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
4675827,0001536529,SUCCESS,,,,,,2500,Ecoform Multifol Verpackungsfolien,Ecoform Multifol (Sold-to 4020000777 - Material 11284).PDF,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
BE-25-02595,0001536530,SUCCESS,,,,,,2500,MF Folien GmbH,MF Folien (Sold-to 4020001301 - Material 60477)_AQMkAGEz.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
BE-25-02803,0001536531,SUCCESS,,,,,,2500,MF Folien GmbH,Bestellung BE-25-02803.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
BE-25-02803,0001536532,SUCCESS,,,,,,2500,MF Folien GmbH,MF Folien (Sold-to 4020001301 - Material 14885).pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
BE-26-00858,0001536556,SUCCESS,,,,,,2500,MF Folien GmbH,Bestellung BE-26-00858_AQMkAGEz.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
BE-26-00858,0001536533,SUCCESS,,,,,,2500,MF Folien GmbH,Bestellung BE-26-00858.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
BE25-00763,0001536534,SUCCESS,,,,,,2500,VF Verpackungen GmbH,Niederwieser (Sold-to 4020000825 - Material 11284).pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
D260317002,0001536591,SUCCESS,,,,,,2750,訊知股份有限公司 訊知股份有限公司,TYNPOD20260317002_20260728065956.816_X (1).pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
P172126,0001536557,SUCCESS,,,,,,2500,Legrand Elektrik Sanayi A.S.,Sold-to 4020001469 - Material 5953+35359.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
PON-2605-0005R1,0001536600,SUCCESS,,,,,,2700,Tetro Ltd,恩骅力PON-2605-0005R1.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
VO-2026-311-000149,0001536558,SUCCESS,,,,,,2540,CEGAN s.r.o,VO-2026-311-000149_AAMkAGEz.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
121020132410,0001536535,SUCCESS,,,,,,2730,FOXCONN (KUNSHAN) COMPUTER CONNECTOR CO,FOXCONN (Sold-to 4020010339 - Materials 16552+47206+61262+61457)_AQMkAGEz.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
37667,0001536560,SUCCESS,,,,,,2500,STEBRO PLAST AB,Sold-to 4020032023 - Material 19497.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
4500090003,0001536561,SUCCESS,,,,,,2540,BOURBON Automotive Plastic Nitra,PO 4500090003_AAMkAGEz.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
66090667 OP,0001536562,SUCCESS,,,,,,2500,Parker Hannifin EMEA Sàrl,Sold-to 4020030130 - Material 40670.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
66090745 OP,0001536563,SUCCESS,,,,,,2500,Parker Hannifin EMEA Sàrl,Sold-to 4020030130 - Material 812.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
BE-25-02803,0001536536,SUCCESS,,,,,,2500,MF Folien GmbH,MF Folien (Sold-to 4020001301 - Material 14885).pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
BE-26-00192,0001536537,SUCCESS,,,,,,2500,MF Folien GmbH,Bestellung BE-26-00192.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
BE-26-00192,0001536538,SUCCESS,,,,,,2500,MF Folien GmbH,Bestellung BE-26-00192.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
BE-26-00859,0001536539,SUCCESS,,,,,,2500,MF Folien GmbH,Bestellung BE-26-00859.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
BE-26-00859,0001536540,SUCCESS,,,,,,2500,MF Folien GmbH,Bestellung BE-26-00859.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
BE25-00614,0001536541,SUCCESS,,,,,,2500,VF Verpackungen GmbH,BestellungBE25-00614_20260211164808.475_X.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
BE25-00614,0001536542,SUCCESS,,,,,,2500,VF Verpackungen GmbH,BestellungBE25-00614_20260211164808.475_X.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
