message_id,subject,received_date,status,error_log,created_at,updated_at,source_file,so_number,block_code,block_reason,stage,conversation_id,attachments,sender_email
AQMkAGEzNTJjNTY1LTAxZjctNGU1My04ZDFkLTBkMTJlZGE0YTUzMwAARgAAA7uoljtkkkFPkg-v2f9HSP8HAInUDOdnT_5Gsb7k011QeAAAAwEJAAAAidQM52dP7kaxvuTTXVB4AAABYlqoPgAAAA==,FW: cerere of de pret // FOR TESTING,2026-06-12T12:16:05Z,PENDING_STAGE2,,2026-06-12 12:55:09,2026-07-10 08:05:33,body_aqmkagez_fw_ cerere of de pret __ for testing.txt,,,,1,,,
AQMkAGEzNTJjNTY1LTAxZjctNGU1My04ZDFkLTBkMTJlZGE0YTUzMwAARgAAA7uoljtkkkFPkg-v2f9HSP8HAInUDOdnT_5Gsb7k011QeAAAAwEJAAAAidQM52dP7kaxvuTTXVB4AAABYlqoQAAAAA==,FW: Request for Support on PA66 Raw Material Supply_2026_02_12 // FOR TESTING - hard one,2026-06-12T12:16:06Z,PENDING_STAGE2,,2026-06-12 12:55:01,2026-07-10 08:05:33,body_aqmkagez_fw_ request for support on pa66 raw material supply_2026_02_12 __ for testing - .txt,,,,1,,,
AQMkAGEzNTJjNTY1LTAxZjctNGU1My04ZDFkLTBkMTJlZGE0YTUzMwAARgAAA7uoljtkkkFPkg-v2f9HSP8HAInUDOdnT_5Gsb7k011QeAAAAwEJAAAAidQM52dP7kaxvuTTXVB4AAABYlqoQgAAAA==,FW: New Order PO 309 // FOR TESTING,2026-06-12T12:16:07Z,PENDING_STAGE2,,2026-06-12 12:54:53,2026-07-10 08:05:33,body_aqmkagez_fw_ new order po 309 __ for testing.txt,,,,1,,,
AQMkAGEzNTJjNTY1LTAxZjctNGU1My04ZDFkLTBkMTJlZGE0YTUzMwAARgAAA7uoljtkkkFPkg-v2f9HSP8HAInUDOdnT_5Gsb7k011QeAAAAwEJAAAAidQM52dP7kaxvuTTXVB4AAABYlqoRAAAAA==,FW: FOR TESTING: 1534916_: PO 10260859 Gaudlitz Precision s.r.o.,2026-06-12T12:16:08Z,ROBONA_SENT,,2026-06-12 12:54:46,2026-07-20 10:52:38,body_aqmkagez_fw_ for testing_ 1534916__ po 10260859 gaudlitz precision s.r.o..txt,,,,1,,,
AAMkAGEzNTJjNTY1LTAxZjctNGU1My04ZDFkLTBkMTJlZGE0YTUzMwBGAAAAAAC7qJY7ZJJBT5IP79n-R0j-BwCJ1AznZ0-uRrG_5NNdUHgAAABgPpcjAACJ1AznZ0-uRrG_5NNdUHgAAABiWqvmAAA=,FW: FOR TESTING: 1534916_: PO 10260859 Gaudlitz Precision s.r.o.,2026-06-10T07:09:33Z,ROBONA_SENT,,2026-06-12 11:44:15,2026-07-20 10:52:34,body_aamkagez_fw_ for testing_ 1534916__ po 10260859 gaudlitz precision s.r.o..txt,,,,1,,,
AAMkAGEzNTJjNTY1LTAxZjctNGU1My04ZDFkLTBkMTJlZGE0YTUzMwBGAAAAAAC7qJY7ZJJBT5IP79n-R0j-BwCJ1AznZ0-uRrG_5NNdUHgAAABgPpcjAACJ1AznZ0-uRrG_5NNdUHgAAABiWqvlAAA=,FW: New Order PO 309 // FOR TESTING,2026-06-10T07:09:38Z,PENDING_STAGE2,,2026-06-12 11:44:11,2026-07-10 08:05:33,envalior deutschland gmbh # 309 # (06.04.26)_aamkagez.pdf,,,,1,,,
AAMkAGEzNTJjNTY1LTAxZjctNGU1My04ZDFkLTBkMTJlZGE0YTUzMwBGAAAAAAC7qJY7ZJJBT5IP79n-R0j-BwCJ1AznZ0-uRrG_5NNdUHgAAABgPpcjAACJ1AznZ0-uRrG_5NNdUHgAAABiWqvkAAA=,FW: Request for Support on PA66 Raw Material Supply_2026_02_12 // FOR TESTING - hard one,2026-06-10T07:09:55Z,PENDING_STAGE2,,2026-06-12 11:44:07,2026-07-10 08:05:33,20260212143145_aamkagez.pdf,,,,1,,,
AAMkAGEzNTJjNTY1LTAxZjctNGU1My04ZDFkLTBkMTJlZGE0YTUzMwBGAAAAAAC7qJY7ZJJBT5IP79n-R0j-BwCJ1AznZ0-uRrG_5NNdUHgAAABgPpcjAACJ1AznZ0-uRrG_5NNdUHgAAABiWqvjAAA=,FW: cerere of de pret // FOR TESTING,2026-06-10T07:10:05Z,PENDING_STAGE2,,2026-06-12 11:44:06,2026-07-10 08:05:33,,,,,1,,,
AAMkAGEzNTJjNTY1LTAxZjctNGU1My04ZDFkLTBkMTJlZGE0YTUzMwBGAAAAAAC7qJY7ZJJBT5IP79n-R0j-BwCJ1AznZ0-uRrG_5NNdUHgAAABgPpcjAACJ1AznZ0-uRrG_5NNdUHgAAABiWqviAAA=,FW: 852915: PA6GF30 Durethan BKV30 H2.0 901510 black FOR TESTING,2026-06-10T07:10:15Z,PENDING_STAGE2,,2026-06-12 11:44:02,2026-07-10 08:05:33,852915 envalior_aamkagez.pdf,,,,1,,,
AAMkAGEzNTJjNTY1LTAxZjctNGU1My04ZDFkLTBkMTJlZGE0YTUzMwBGAAAAAAC7qJY7ZJJBT5IP79n-R0j-BwCJ1AznZ0-uRrG_5NNdUHgAAABgPpcjAACJ1AznZ0-uRrG_5NNdUHgAAABiWqvhAAA=,FW: Megrendelés - 4800013671 // FOR TESTING,2026-06-10T07:10:23Z,PENDING_STAGE2,,2026-06-12 11:43:57,2026-07-10 08:05:33,envalior-2026-04-13_aamkagez.pdf,,,,1,,,
AAMkAGEzNTJjNTY1LTAxZjctNGU1My04ZDFkLTBkMTJlZGE0YTUzMwBGAAAAAAC7qJY7ZJJBT5IP79n-R0j-BwCJ1AznZ0-uRrG_5NNdUHgAAABgPpcjAACJ1AznZ0-uRrG_5NNdUHgAAABiWqvgAAA=,FW: new order EB022692 - Arnite TV4 261/A mit 30% Glasfasern // FOR TESTING,2026-06-10T07:10:29Z,PENDING_STAGE2,,2026-06-12 11:43:52,2026-07-10 08:05:33,doc010626-01062026071456_aamkagez.pdf,,,,1,,,
AAMkAGEzNTJjNTY1LTAxZjctNGU1My04ZDFkLTBkMTJlZGE0YTUzMwBGAAAAAAC7qJY7ZJJBT5IP79n-R0j-BwCJ1AznZ0-uRrG_5NNdUHgAAABgPpcjAACJ1AznZ0-uRrG_5NNdUHgAAABiWqvfAAA=,FW: Durethan BKV 30 FN04 901510 - for TESTING,2026-06-10T07:10:40Z,ROBONA_SENT,,2026-06-12 11:43:48,2026-07-16 09:31:56,4500029652 envalior_aamkagez.pdf,,,,1,,,
AAMkAGEzNTJjNTY1LTAxZjctNGU1My04ZDFkLTBkMTJlZGE0YTUzMwBGAAAAAAC7qJY7ZJJBT5IP79n-R0j-BwCJ1AznZ0-uRrG_5NNdUHgAAABgPpcjAACJ1AznZ0-uRrG_5NNdUHgAAABiWqveAAA=,FW: VO-2026-311-000149 / FOR TESTING,2026-06-10T07:10:49Z,ROBONA_SENT,,2026-06-12 11:43:44,2026-07-27 12:16:02,vo-2026-311-000149_aamkagez.pdf,,,,1,,,
AAMkAGEzNTJjNTY1LTAxZjctNGU1My04ZDFkLTBkMTJlZGE0YTUzMwBGAAAAAAC7qJY7ZJJBT5IP79n-R0j-BwCJ1AznZ0-uRrG_5NNdUHgAAABgPpcjAACJ1AznZ0-uRrG_5NNdUHgAAABiWqvdAAA=,FW: BAP SK/ PO 4500090003 FOR TESTING,2026-06-10T07:10:55Z,ROBONA_SENT,,2026-06-12 11:43:40,2026-07-16 09:31:52,po 4500090003_aamkagez.pdf,,,,1,,,
AAMkAGEzNTJjNTY1LTAxZjctNGU1My04ZDFkLTBkMTJlZGE0YTUzMwBGAAAAAAC7qJY7ZJJBT5IP79n-R0j-BwCJ1AznZ0-uRrG_5NNdUHgAAABgPpcjAACJ1AznZ0-uRrG_5NNdUHgAAABiWqvcAAA=,FW: Yeni sipariş: 1002134183  // FOR TESTING,2026-06-10T07:10:59Z,ROBONA_SENT,,2026-06-12 11:43:36,2026-07-16 09:31:49,po_1002134183_aamkagez.pdf,,,,1,,,
AAMkAGEzNTJjNTY1LTAxZjctNGU1My04ZDFkLTBkMTJlZGE0YTUzMwBGAAAAAAC7qJY7ZJJBT5IP79n-R0j-BwCJ1AznZ0-uRrG_5NNdUHgAAABgPpcjAACJ1AznZ0-uRrG_5NNdUHgAAABiWqvbAAA=,FOR TESTING WG: Bestellung BE-26-00858; 1519728; 1519731; 1519732; 1519733; 1519734; 1519736; 1519738; 1519739; 1519740; 1519742 SO# BE-26-00858,2026-06-10T10:15:22Z,ROBONA_SENT,,2026-06-12 11:43:35,2026-07-27 12:15:57,,,,,1,,,
AAMkAGEzNTJjNTY1LTAxZjctNGU1My04ZDFkLTBkMTJlZGE0YTUzMwBGAAAAAAC7qJY7ZJJBT5IP79n-R0j-BwCJ1AznZ0-uRrG_5NNdUHgAAABgPpcjAACJ1AznZ0-uRrG_5NNdUHgAAABiWqvaAAA=,WG: Bestellung BE-26-00587; 1506404; 1506403 SO# BE-26-00587,2026-06-10T10:15:23Z,ROBONA_SENT,,2026-06-12 11:43:34,2026-07-20 10:52:31,,,,,1,,,
